社名,問い合わせからの経過日数,接触回数,最終接触からの経過日数,資料請求,デモ版利用,セミナー参加,顧客の業種,顧客の従業員規模,商談フェーズ,提案金額,競合,導入予定時期,決裁者の関与度,企業規模（売上高）,契約成立
企業_4492_80FI3HGL,121,9,45,1,1,0,製造業,501名以上,提案,1830000,0,3ヶ月以内,高い,10億円～100億円,1
企業_4493_4JT5NFAV,129,0,81,0,0,0,その他,501名以上,クロージング,2820000,1,1年以内,低い,10億円～100億円,0
企業_4494_QR63XTC1,102,7,72,1,1,1,IT,101-500名,クロージング,2700000,1,未定,普通,10億円～100億円,0
企業_4495_A2F1JEUZ,38,0,40,0,0,0,金融,51-100名,提案,470000,1,半年以内,普通,10億円～100億円,0
企業_4496_52H2UPQV,85,8,3,1,0,1,金融,1-10名,提案,680000,0,未定,高い,1億円～10億円,1
企業_4497_GXX3GMEO,157,5,13,0,1,0,IT,1-10名,初期ヒアリング,4990000,0,1年以内,低い,1億円～10億円,0
企業_4498_SH252KBR,133,0,13,0,0,1,その他,11-50名,クロージング,4200000,1,半年以内,低い,1億円未満,1
企業_4499_33VZ4OCZ,92,7,52,1,0,0,IT,11-50名,初期ヒアリング,1910000,0,半年以内,普通,10億円～100億円,0
企業_4500_0K4TWVK6,21,4,83,1,1,1,IT,51-100名,提案,1140000,0,1年以内,普通,100億円以上,1
企業_4501_6KVQA7V9,109,6,28,0,1,0,小売,101-500名,クロージング,1050000,1,1年以内,高い,100億円以上,1
企業_4502_W96OWDDG,47,6,22,1,1,0,小売,501名以上,交渉,990000,0,半年以内,普通,10億円～100億円,1
企業_4503_VX5MWAYP,84,6,84,1,1,1,その他,101-500名,交渉,800000,1,未定,普通,10億円～100億円,1
企業_4504_U8PV8WF1,83,5,30,0,1,1,小売,1-10名,提案,1090000,0,半年以内,低い,1億円～10億円,1
企業_4505_1DGQYRJ2,35,7,70,1,1,1,製造業,101-500名,初期ヒアリング,3200000,1,3ヶ月以内,低い,10億円～100億円,0
企業_4506_EO08Z46Y,69,8,76,0,0,1,小売,101-500名,提案,3360000,1,半年以内,低い,100億円以上,1
企業_4507_QTNHNOUG,129,1,60,1,1,1,小売,11-50名,クロージング,1800000,1,1年以内,低い,1億円未満,1
企業_4508_6TOEU8S1,140,6,22,0,0,0,小売,51-100名,見積もり,3560000,0,未定,普通,1億円～10億円,0
企業_4509_C8D47VAZ,27,1,7,1,1,0,金融,501名以上,クロージング,1750000,1,1年以内,低い,100億円以上,1
企業_4510_EOALFJTA,56,5,75,0,0,0,サービス,501名以上,クロージング,3770000,1,未定,高い,1億円未満,0
企業_4511_VVERA7FO,23,1,15,0,0,1,小売,101-500名,交渉,2490000,1,3ヶ月以内,普通,1億円未満,1
企業_4512_NN13FHRN,153,9,25,1,0,0,IT,1-10名,見積もり,2250000,1,3ヶ月以内,高い,100億円以上,1
企業_4513_8YNSO8Y9,21,5,28,1,1,0,小売,1-10名,初期ヒアリング,3530000,0,半年以内,低い,100億円以上,1
企業_4514_UFKCZ3OP,61,1,5,0,0,0,サービス,1-10名,交渉,700000,0,半年以内,低い,1億円～10億円,0
企業_4515_77WSV9AL,63,0,36,1,1,0,その他,51-100名,クロージング,4380000,1,未定,高い,1億円～10億円,1
企業_4516_VM3CSB4A,122,6,32,0,0,1,その他,51-100名,クロージング,1950000,0,半年以内,高い,1億円未満,1
企業_4517_BZGFRQT8,52,2,45,0,1,1,製造業,501名以上,初期ヒアリング,3730000,0,1年以内,低い,1億円未満,0
企業_4518_I5K6IB3R,88,3,60,1,1,0,製造業,51-100名,提案,4220000,0,1年以内,高い,100億円以上,1
企業_4519_HEUYDKZJ,153,5,40,1,0,0,小売,101-500名,交渉,1910000,0,3ヶ月以内,普通,1億円未満,1
企業_4520_H4L3KKPC,55,4,17,1,1,0,IT,51-100名,見積もり,2280000,1,未定,普通,1億円～10億円,1
企業_4521_269LJRHR,46,3,15,0,1,0,IT,1-10名,提案,430000,1,半年以内,普通,1億円未満,1
企業_4522_XL4U6DAJ,32,8,50,1,1,0,金融,101-500名,クロージング,4140000,0,半年以内,低い,100億円以上,1
企業_4523_X335ID6K,55,5,36,1,0,0,IT,11-50名,見積もり,540000,1,半年以内,普通,1億円未満,0
企業_4524_OZQDSD62,96,5,13,1,1,1,金融,1-10名,初期ヒアリング,3940000,1,半年以内,低い,100億円以上,1
企業_4525_WHC4CEKM,133,1,67,0,1,0,金融,51-100名,交渉,1470000,0,半年以内,低い,100億円以上,0
企業_4526_6WO487WQ,36,5,29,1,0,0,IT,101-500名,見積もり,1950000,0,3ヶ月以内,普通,1億円～10億円,1
企業_4527_U83GD5SK,110,6,59,1,0,0,IT,11-50名,交渉,3590000,1,未定,低い,1億円～10億円,0
企業_4528_F5S72VDX,177,7,52,0,1,0,金融,11-50名,クロージング,370000,0,未定,普通,1億円～10億円,0
企業_4529_4WLNSFDP,106,7,35,1,0,0,製造業,501名以上,提案,4540000,1,未定,普通,10億円～100億円,1
企業_4530_8PPUQU8M,58,8,29,0,1,0,小売,51-100名,提案,1150000,1,1年以内,低い,10億円～100億円,0
企業_4531_J65EVKPI,39,9,63,1,0,0,製造業,501名以上,提案,2950000,0,3ヶ月以内,高い,1億円未満,1
企業_4532_TYWO4MRC,80,2,13,0,0,0,その他,11-50名,見積もり,2930000,0,半年以内,普通,1億円未満,1
企業_4533_JDAPOVGJ,97,9,22,0,0,0,IT,501名以上,交渉,1660000,0,1年以内,低い,1億円未満,0
企業_4534_42XGF1OH,113,6,47,0,0,0,サービス,1-10名,提案,2960000,0,未定,低い,1億円～10億円,0
企業_4535_SSAHOXLD,61,6,27,1,1,1,IT,101-500名,提案,1160000,1,1年以内,低い,100億円以上,1
企業_4536_6HQJVXB6,137,0,6,1,0,0,金融,11-50名,初期ヒアリング,2420000,0,3ヶ月以内,普通,100億円以上,0
企業_4537_8G7DSB5U,6,7,41,0,1,0,サービス,51-100名,提案,2050000,1,1年以内,低い,100億円以上,0
企業_4538_W9C45R81,109,3,9,1,1,1,サービス,501名以上,クロージング,3480000,0,1年以内,普通,1億円未満,1
企業_4539_QA6DEP92,35,4,67,1,1,0,小売,501名以上,交渉,2110000,0,未定,高い,10億円～100億円,1
企業_4540_6AC10V6U,39,5,43,1,0,0,その他,51-100名,見積もり,1180000,0,未定,普通,1億円未満,1
企業_4541_8B4TY3B7,150,2,12,0,0,0,IT,501名以上,見積もり,400000,0,未定,高い,1億円未満,0
企業_4542_LT8WS3Y1,169,4,84,1,0,0,小売,501名以上,初期ヒアリング,2350000,0,3ヶ月以内,高い,100億円以上,0
企業_4543_WJGCFD2G,118,9,32,0,0,1,その他,51-100名,クロージング,500000,0,未定,普通,10億円～100億円,1
企業_4544_AYCGRZAQ,5,4,86,0,1,0,製造業,1-10名,クロージング,730000,1,1年以内,普通,10億円～100億円,0
企業_4545_3K16EMTK,170,0,31,1,0,0,サービス,11-50名,初期ヒアリング,2400000,1,半年以内,普通,1億円～10億円,1
企業_4546_PLFCD1OS,87,2,47,1,1,0,小売,1-10名,交渉,3870000,0,3ヶ月以内,高い,10億円～100億円,1
企業_4547_I3W61ZMA,76,2,4,0,0,0,製造業,51-100名,交渉,1790000,0,半年以内,普通,100億円以上,0
企業_4548_UGI6Z6DT,158,0,60,1,0,0,IT,51-100名,初期ヒアリング,3090000,0,1年以内,低い,100億円以上,1
企業_4549_XAC8H92F,57,6,89,1,1,1,IT,101-500名,クロージング,4240000,0,半年以内,普通,100億円以上,0
企業_4550_3TSVEOKE,127,0,89,0,0,1,金融,11-50名,クロージング,3810000,1,1年以内,普通,1億円未満,0
企業_4551_SPKXSGWS,29,6,2,1,0,0,製造業,11-50名,クロージング,1480000,1,1年以内,低い,1億円未満,1
企業_4552_ZQDNE1B6,165,3,23,0,1,1,製造業,51-100名,交渉,3010000,1,半年以内,普通,10億円～100億円,0
企業_4553_S17LQ0FL,87,8,33,0,0,1,小売,101-500名,初期ヒアリング,3730000,1,1年以内,高い,1億円～10億円,0
企業_4554_KUIT4E4O,141,6,83,1,1,1,その他,11-50名,クロージング,2450000,1,半年以内,普通,10億円～100億円,1
企業_4555_CCH365WN,160,4,41,0,1,0,サービス,101-500名,提案,2970000,0,3ヶ月以内,普通,100億円以上,0
企業_4556_EQAJ658F,46,6,19,1,0,0,その他,51-100名,初期ヒアリング,4800000,0,3ヶ月以内,高い,100億円以上,1
企業_4557_J212CV5H,116,8,40,1,1,1,その他,51-100名,初期ヒアリング,3690000,1,1年以内,高い,10億円～100億円,1
企業_4558_252OI3BF,112,9,81,1,1,1,サービス,11-50名,クロージング,4320000,1,未定,普通,100億円以上,1
企業_4559_EFTC9OGP,151,5,19,0,0,0,金融,51-100名,クロージング,760000,0,1年以内,低い,1億円未満,0
企業_4560_HIMZHSJQ,45,0,5,0,0,1,その他,51-100名,初期ヒアリング,1970000,0,3ヶ月以内,高い,1億円～10億円,0
企業_4561_IXFHGMXF,145,5,56,0,0,0,金融,501名以上,クロージング,3570000,0,半年以内,普通,10億円～100億円,1
企業_4562_VPAJ07FY,104,0,41,1,1,0,金融,1-10名,見積もり,2900000,1,未定,普通,10億円～100億円,1
企業_4563_4QUK3VZ2,85,3,24,1,1,1,製造業,11-50名,提案,370000,0,半年以内,低い,10億円～100億円,1
企業_4564_L124S6ST,134,7,40,0,0,0,IT,1-10名,初期ヒアリング,4120000,1,3ヶ月以内,普通,10億円～100億円,1
企業_4565_Z98L51F9,108,4,40,1,1,1,IT,101-500名,初期ヒアリング,2200000,1,1年以内,低い,10億円～100億円,1
企業_4566_O7ICX3WE,18,4,2,1,1,1,小売,101-500名,提案,2430000,1,3ヶ月以内,普通,100億円以上,1
企業_4567_JULLR9RZ,94,9,42,0,0,1,サービス,101-500名,提案,4220000,1,半年以内,普通,10億円～100億円,0
企業_4568_FE4FUH2T,150,7,45,0,0,0,サービス,101-500名,交渉,4430000,1,未定,普通,1億円未満,0
企業_4569_BZINTQJ5,33,7,56,0,0,1,小売,1-10名,交渉,280000,1,1年以内,普通,100億円以上,1
企業_4570_EG0361JO,158,0,82,1,1,0,製造業,501名以上,初期ヒアリング,3210000,1,未定,高い,1億円未満,0
企業_4571_CYTJIFJ6,126,4,73,1,1,1,IT,1-10名,初期ヒアリング,4110000,1,1年以内,高い,10億円～100億円,1
企業_4572_2IQ432SQ,160,4,50,1,0,0,金融,501名以上,見積もり,4380000,1,未定,高い,1億円未満,1
企業_4573_0N1EVAM5,170,7,4,0,1,1,IT,51-100名,クロージング,1220000,1,半年以内,高い,1億円未満,1
企業_4574_15KIKMI5,122,0,85,0,0,1,小売,1-10名,見積もり,3530000,0,1年以内,高い,10億円～100億円,0
企業_4575_Z49PZ31F,138,6,72,0,0,0,IT,501名以上,クロージング,3670000,0,半年以内,普通,1億円未満,0
企業_4576_2G41G2TU,115,6,14,0,0,0,金融,101-500名,見積もり,1350000,0,半年以内,高い,1億円未満,1
企業_4577_NF3OBDUP,164,8,87,1,1,1,その他,1-10名,クロージング,2170000,0,3ヶ月以内,普通,10億円～100億円,1
企業_4578_23BK6SSH,162,1,38,0,1,0,その他,501名以上,初期ヒアリング,910000,0,未定,低い,10億円～100億円,0
企業_4579_CV4QO7IV,28,2,69,1,1,1,サービス,51-100名,見積もり,2610000,0,未定,高い,10億円～100億円,1
企業_4580_QLE5KT6R,11,3,78,0,1,1,小売,501名以上,提案,500000,0,未定,高い,10億円～100億円,0
企業_4581_Q0UUM0MO,167,0,37,1,1,0,製造業,101-500名,交渉,3910000,1,3ヶ月以内,普通,100億円以上,0
企業_4582_QSCKP74V,47,6,38,0,1,0,IT,51-100名,提案,2780000,1,1年以内,低い,1億円～10億円,0
企業_4583_6X2VJXV8,127,9,51,1,0,1,IT,501名以上,提案,4610000,1,1年以内,普通,10億円～100億円,0
企業_4584_73EBCMIK,147,2,85,1,0,1,製造業,51-100名,初期ヒアリング,2140000,1,3ヶ月以内,高い,1億円～10億円,1
企業_4585_IORDG0T5,118,2,2,0,0,1,製造業,1-10名,初期ヒアリング,1080000,1,未定,普通,1億円未満,0
企業_4586_8B94C258,143,2,28,1,0,1,その他,1-10名,クロージング,4610000,0,1年以内,低い,100億円以上,0
企業_4587_3SEDUN1G,126,7,30,0,1,0,金融,501名以上,交渉,920000,0,半年以内,低い,10億円～100億円,0
企業_4588_2GNFN8HA,156,8,65,1,0,1,IT,1-10名,初期ヒアリング,330000,0,1年以内,高い,1億円～10億円,1
企業_4589_NHAD2GAR,152,9,44,0,0,0,小売,501名以上,見積もり,4260000,0,1年以内,低い,100億円以上,0
企業_4590_GYKOFITN,72,1,72,0,0,1,IT,1-10名,交渉,3620000,0,3ヶ月以内,高い,1億円～10億円,0
企業_4591_EM82FBDG,107,9,21,0,1,0,金融,501名以上,提案,820000,0,3ヶ月以内,高い,1億円未満,1
企業_4592_V3VQEH81,137,9,82,1,0,1,小売,11-50名,提案,1920000,0,3ヶ月以内,低い,100億円以上,1
企業_4593_UNHLD9BR,175,0,9,1,0,0,小売,501名以上,初期ヒアリング,120000,1,3ヶ月以内,高い,100億円以上,0
企業_4594_X0BH5ZGF,33,8,20,0,0,1,小売,1-10名,見積もり,2680000,0,1年以内,普通,100億円以上,0
企業_4595_CVYE8OHL,19,5,16,1,0,0,その他,501名以上,提案,390000,1,半年以内,高い,100億円以上,1
企業_4596_O3S8P7RR,74,8,66,0,1,0,金融,101-500名,クロージング,1550000,0,未定,低い,100億円以上,0
企業_4597_B3ORIBZE,168,5,6,1,1,0,IT,501名以上,交渉,4590000,1,未定,低い,10億円～100億円,1
企業_4598_DXRQ1HOQ,175,1,35,0,0,1,その他,11-50名,初期ヒアリング,4890000,0,1年以内,普通,1億円～10億円,0
企業_4599_UIU03H8M,157,0,66,0,0,0,サービス,1-10名,交渉,4360000,0,半年以内,高い,10億円～100億円,1
企業_4600_6MTC36J7,178,7,76,0,1,0,小売,101-500名,交渉,4660000,0,1年以内,高い,10億円～100億円,0
企業_4601_LM6PN4IA,98,2,29,0,1,1,製造業,51-100名,見積もり,3310000,0,1年以内,低い,1億円～10億円,0
企業_4602_OSHKC5PX,141,0,86,0,1,1,金融,101-500名,見積もり,2210000,1,半年以内,高い,1億円未満,1
企業_4603_FJ811033,129,7,70,1,1,1,小売,101-500名,見積もり,360000,1,3ヶ月以内,普通,1億円～10億円,1
企業_4604_EIGO57SY,162,0,28,1,0,0,金融,11-50名,見積もり,3650000,1,3ヶ月以内,高い,1億円未満,1
企業_4605_S0MFS2EF,93,7,71,1,1,0,製造業,51-100名,交渉,1140000,1,3ヶ月以内,高い,10億円～100億円,1
企業_4606_C0YFXHFJ,176,0,73,1,0,0,小売,1-10名,初期ヒアリング,1190000,1,3ヶ月以内,低い,100億円以上,0
企業_4607_E694Z4TL,48,8,32,0,1,0,IT,11-50名,クロージング,280000,1,未定,高い,100億円以上,1
企業_4608_S1DZ0N8D,177,8,58,0,0,1,金融,501名以上,提案,250000,0,3ヶ月以内,普通,1億円未満,0
企業_4609_WLRHGVEH,64,8,19,0,1,0,小売,51-100名,提案,2910000,0,半年以内,高い,100億円以上,1
企業_4610_6O7YUO10,61,2,28,1,0,1,小売,101-500名,初期ヒアリング,2790000,1,半年以内,低い,10億円～100億円,0
企業_4611_4S7CX9SU,157,3,52,0,1,0,金融,501名以上,交渉,560000,1,半年以内,普通,1億円未満,1
企業_4612_X4407FIU,39,4,84,1,1,1,製造業,101-500名,初期ヒアリング,1550000,1,1年以内,高い,1億円未満,0
企業_4613_6C9FN1HJ,128,5,0,1,0,1,金融,1-10名,見積もり,1650000,1,未定,低い,1億円～10億円,1
企業_4614_74PCKBX3,88,8,33,1,0,0,サービス,101-500名,交渉,3760000,0,1年以内,高い,10億円～100億円,0
企業_4615_B80YGCNR,26,3,43,0,1,0,IT,501名以上,初期ヒアリング,4120000,1,半年以内,高い,10億円～100億円,0
企業_4616_ENXQ395R,17,5,13,1,0,0,製造業,51-100名,クロージング,390000,0,1年以内,普通,1億円未満,0
企業_4617_A5GA74R2,71,0,36,1,0,1,その他,1-10名,クロージング,1140000,0,3ヶ月以内,高い,100億円以上,1
企業_4618_PTJ8RLA4,13,1,34,1,1,1,その他,501名以上,見積もり,1580000,0,3ヶ月以内,高い,100億円以上,0
企業_4619_9FD35F8T,69,7,58,1,1,0,IT,101-500名,提案,4140000,0,3ヶ月以内,高い,1億円～10億円,1
企業_4620_PCOREH11,26,3,23,1,1,1,IT,1-10名,クロージング,570000,1,1年以内,高い,100億円以上,1
企業_4621_QT20M0B6,49,9,64,0,0,0,その他,1-10名,見積もり,1920000,0,未定,低い,1億円～10億円,0
企業_4622_VZ3061WB,7,6,5,1,1,0,金融,11-50名,交渉,1670000,1,3ヶ月以内,低い,10億円～100億円,1
企業_4623_X6D9T1CV,58,3,67,1,1,0,サービス,51-100名,交渉,510000,1,半年以内,低い,1億円未満,1
企業_4624_GPXO56E9,49,8,37,1,0,0,小売,101-500名,交渉,1740000,1,1年以内,低い,100億円以上,0
企業_4625_SYXAHUVU,103,8,0,0,0,1,サービス,11-50名,交渉,3060000,0,未定,高い,1億円未満,1
企業_4626_XAYI9LGC,53,3,40,1,1,0,製造業,51-100名,提案,1830000,1,1年以内,普通,1億円未満,1
企業_4627_99RAI7C9,62,7,30,0,0,1,サービス,11-50名,交渉,3610000,1,未定,普通,1億円～10億円,1
企業_4628_WTRXWIDB,17,5,35,1,0,1,IT,501名以上,提案,1030000,1,3ヶ月以内,普通,1億円～10億円,1
企業_4629_5N6WT0SH,171,0,72,0,1,1,小売,51-100名,提案,2230000,0,3ヶ月以内,低い,100億円以上,0
企業_4630_0ZVI1XU1,25,6,53,0,0,1,サービス,501名以上,見積もり,1970000,1,未定,普通,1億円未満,0
企業_4631_MVJ3PTTY,131,0,86,0,0,1,小売,101-500名,クロージング,970000,0,1年以内,高い,100億円以上,0
企業_4632_ZTIEUVC4,29,2,30,1,0,0,サービス,11-50名,交渉,4670000,1,半年以内,高い,100億円以上,1
企業_4633_SPHGVUJA,117,7,28,1,1,1,その他,501名以上,初期ヒアリング,4810000,0,未定,普通,1億円～10億円,1
企業_4634_5DIDPBH8,160,8,84,1,0,0,小売,51-100名,見積もり,2660000,0,半年以内,低い,1億円～10億円,0
企業_4635_QUY19YSD,26,2,2,1,1,0,サービス,501名以上,提案,2570000,1,1年以内,高い,1億円～10億円,0
企業_4636_7MZ3HDHC,124,0,57,0,1,0,製造業,11-50名,初期ヒアリング,630000,0,1年以内,低い,10億円～100億円,0
企業_4637_R9453J43,144,0,89,1,0,0,小売,11-50名,提案,3810000,1,1年以内,普通,1億円～10億円,1
企業_4638_ZEO4UB96,25,6,60,1,1,1,金融,11-50名,交渉,3000000,1,1年以内,高い,100億円以上,1
企業_4639_1ZFGGM35,54,4,5,0,1,1,IT,11-50名,初期ヒアリング,1530000,1,未定,高い,1億円未満,0
企業_4640_12F34SX5,156,0,19,0,1,0,小売,51-100名,クロージング,140000,1,半年以内,高い,1億円未満,1
企業_4641_H9GFRBD3,73,5,60,0,0,0,その他,11-50名,見積もり,4240000,1,3ヶ月以内,高い,100億円以上,0
企業_4642_LW5YHRXI,120,5,45,0,1,0,IT,1-10名,初期ヒアリング,3740000,1,半年以内,普通,100億円以上,1
企業_4643_0U4PX238,56,3,12,1,1,0,サービス,1-10名,提案,460000,1,3ヶ月以内,高い,1億円～10億円,1
企業_4644_ZASWJF66,65,6,22,1,1,0,サービス,501名以上,見積もり,1280000,0,半年以内,高い,100億円以上,1
企業_4645_NFVUINUW,93,6,78,0,1,0,サービス,501名以上,交渉,4180000,1,1年以内,高い,10億円～100億円,0
企業_4646_WJGAOVOQ,86,8,30,0,1,1,サービス,1-10名,クロージング,3720000,1,1年以内,低い,10億円～100億円,1
企業_4647_HO5W8T76,80,0,3,1,1,1,その他,11-50名,交渉,3780000,0,未定,低い,1億円未満,0
企業_4648_OP3I0EPS,169,4,74,0,1,1,サービス,501名以上,初期ヒアリング,4550000,0,半年以内,高い,1億円～10億円,1
企業_4649_EYHRTWMN,108,9,65,0,0,1,製造業,51-100名,提案,1620000,0,半年以内,普通,1億円～10億円,1
企業_4650_W9Z0NJ0Z,179,2,15,0,0,0,IT,1-10名,交渉,3320000,0,半年以内,低い,100億円以上,0
企業_4651_ECC241SG,118,6,30,1,0,1,小売,51-100名,クロージング,2550000,0,1年以内,普通,1億円未満,0
企業_4652_IMDYLCTT,157,3,47,1,1,1,製造業,51-100名,交渉,3030000,1,3ヶ月以内,低い,1億円～10億円,1
企業_4653_CFYPXHJ4,83,3,42,1,1,0,製造業,11-50名,初期ヒアリング,4890000,1,未定,高い,10億円～100億円,0
企業_4654_PHU4VFN5,147,0,3,0,0,1,製造業,11-50名,見積もり,4410000,1,3ヶ月以内,高い,10億円～100億円,0
企業_4655_N6RVEW2G,169,0,61,1,1,0,製造業,11-50名,初期ヒアリング,2210000,1,未定,高い,1億円～10億円,0
企業_4656_Y9IIAHI0,173,9,47,0,1,0,製造業,51-100名,交渉,4870000,0,半年以内,低い,100億円以上,0
企業_4657_1DCHLIPV,15,1,27,1,0,0,IT,11-50名,提案,4570000,0,1年以内,普通,1億円未満,1
企業_4658_8Z2G5TFL,131,1,15,0,1,0,小売,101-500名,初期ヒアリング,1390000,1,半年以内,低い,1億円未満,1
企業_4659_DTXNT28Y,139,0,88,0,0,0,IT,51-100名,交渉,2010000,1,1年以内,高い,1億円～10億円,1
企業_4660_SL32QQZP,174,7,76,1,0,1,その他,11-50名,交渉,2060000,1,未定,高い,1億円～10億円,1
企業_4661_DGOTICWV,30,5,68,1,1,0,小売,11-50名,提案,2650000,1,未定,高い,1億円～10億円,0
企業_4662_822JQ2I7,57,5,29,0,0,1,製造業,51-100名,交渉,4760000,0,3ヶ月以内,低い,1億円～10億円,1
企業_4663_HQNIOW8Y,146,9,64,0,1,0,その他,1-10名,初期ヒアリング,1570000,0,1年以内,普通,1億円未満,0
企業_4664_MXWD6J87,179,9,68,0,1,0,製造業,11-50名,見積もり,3510000,1,1年以内,高い,1億円未満,1
企業_4665_ZTGLCNUB,128,8,13,0,0,0,サービス,101-500名,初期ヒアリング,2760000,0,未定,高い,1億円～10億円,0
企業_4666_3DM17802,48,4,74,0,1,1,金融,1-10名,提案,3840000,1,3ヶ月以内,高い,10億円～100億円,0
企業_4667_OEIQGHWX,136,3,33,1,1,0,金融,101-500名,クロージング,3470000,0,3ヶ月以内,普通,1億円～10億円,1
企業_4668_U3C9ZEXH,22,5,55,0,0,1,その他,1-10名,初期ヒアリング,4840000,0,未定,普通,1億円未満,1
企業_4669_4KJPCP4A,6,7,28,1,1,1,IT,101-500名,交渉,4240000,0,3ヶ月以内,低い,10億円～100億円,1
企業_4670_9T9SJWW1,104,0,81,1,1,1,IT,11-50名,見積もり,3000000,0,半年以内,高い,100億円以上,1
企業_4671_RFESVZDN,36,6,78,1,0,0,小売,101-500名,初期ヒアリング,1810000,1,3ヶ月以内,低い,100億円以上,0
企業_4672_Y3V75TVJ,79,7,24,1,1,1,サービス,1-10名,クロージング,4480000,1,3ヶ月以内,低い,10億円～100億円,1
企業_4673_AUWNNVUA,116,8,65,0,1,0,小売,101-500名,クロージング,3100000,1,未定,高い,1億円未満,0
企業_4674_ZRLJ7Q1Y,57,7,39,1,1,0,サービス,101-500名,クロージング,1580000,1,1年以内,高い,100億円以上,1
企業_4675_TUJG9W1U,49,6,14,1,0,0,金融,101-500名,初期ヒアリング,4450000,0,3ヶ月以内,低い,1億円未満,0
企業_4676_J2V4GCZ3,173,2,31,1,0,0,金融,11-50名,初期ヒアリング,1570000,1,未定,普通,10億円～100億円,0
企業_4677_9B5N97DP,82,1,19,0,0,0,サービス,11-50名,提案,2740000,1,半年以内,低い,1億円～10億円,0
企業_4678_6NOL2IYX,66,2,52,1,1,0,小売,101-500名,クロージング,1040000,1,1年以内,高い,1億円～10億円,0
企業_4679_COHQY5DG,77,3,77,1,0,1,IT,501名以上,初期ヒアリング,4020000,1,半年以内,高い,1億円未満,0
企業_4680_NEY26HRR,45,3,66,1,0,0,その他,1-10名,クロージング,1950000,0,3ヶ月以内,低い,1億円未満,0
企業_4681_6CLVEZSL,79,5,48,0,0,0,サービス,1-10名,初期ヒアリング,4640000,1,1年以内,普通,10億円～100億円,1
企業_4682_MMNKUBYR,20,6,66,0,0,1,サービス,11-50名,提案,4260000,0,3ヶ月以内,低い,100億円以上,0
企業_4683_N2TQA8SH,123,3,76,0,1,1,サービス,501名以上,初期ヒアリング,2660000,0,半年以内,普通,10億円～100億円,0
企業_4684_RHD76AII,67,9,88,1,0,0,小売,501名以上,提案,2200000,0,3ヶ月以内,高い,1億円～10億円,0
企業_4685_X52I1XR5,83,5,81,0,1,0,IT,501名以上,初期ヒアリング,120000,0,半年以内,低い,10億円～100億円,0
企業_4686_GU7ZI8M8,3,8,0,0,0,1,小売,1-10名,提案,1760000,0,半年以内,普通,100億円以上,0
企業_4687_W6K9CA63,64,5,38,0,1,1,製造業,11-50名,見積もり,4050000,1,1年以内,低い,1億円～10億円,0
企業_4688_K4N7FHAY,40,2,60,1,0,0,製造業,11-50名,提案,3590000,0,3ヶ月以内,普通,100億円以上,0
企業_4689_N68AK0ZQ,59,0,54,0,1,1,サービス,1-10名,初期ヒアリング,4090000,0,未定,普通,10億円～100億円,0
企業_4690_FURC6GR5,62,9,68,1,0,1,サービス,101-500名,クロージング,2140000,0,1年以内,高い,1億円～10億円,1
企業_4691_3WUMXQ44,132,9,1,1,1,0,サービス,501名以上,見積もり,1870000,1,未定,低い,1億円未満,0
企業_4692_6NMA9ZOQ,60,4,16,1,0,1,IT,51-100名,見積もり,3530000,0,3ヶ月以内,高い,10億円～100億円,1
企業_4693_6602SSU4,116,9,28,1,1,1,IT,51-100名,提案,4740000,1,未定,高い,1億円～10億円,1
企業_4694_Y5VQFS99,75,9,3,0,0,1,サービス,101-500名,提案,360000,0,3ヶ月以内,普通,1億円～10億円,1
企業_4695_NCSCYYHF,122,2,72,0,1,1,IT,11-50名,交渉,380000,1,1年以内,普通,100億円以上,0
企業_4696_TWZ8CQCG,107,7,63,1,0,1,金融,11-50名,見積もり,1360000,0,未定,高い,10億円～100億円,1
企業_4697_19XK4DW6,96,9,84,1,1,1,サービス,1-10名,クロージング,3850000,1,1年以内,高い,1億円～10億円,0
企業_4698_UDD2JDGQ,91,0,42,1,0,0,金融,501名以上,交渉,1140000,1,3ヶ月以内,低い,1億円未満,0
企業_4699_K4M6YF49,158,1,75,1,0,0,小売,51-100名,クロージング,3430000,1,1年以内,普通,10億円～100億円,0
企業_4700_Y0RJ8IR4,130,2,11,0,0,0,金融,101-500名,見積もり,780000,1,1年以内,普通,1億円～10億円,0
企業_4701_7FE3WX2Q,62,2,49,0,1,1,小売,51-100名,提案,1160000,0,3ヶ月以内,低い,100億円以上,0
企業_4702_XQ9KYLDP,49,7,67,1,0,1,その他,501名以上,初期ヒアリング,1890000,1,半年以内,普通,10億円～100億円,0
企業_4703_VECNDK5O,137,4,60,0,0,0,小売,1-10名,クロージング,1110000,1,半年以内,高い,10億円～100億円,0
企業_4704_K40JWPES,92,7,72,0,0,1,サービス,101-500名,提案,2710000,0,半年以内,普通,100億円以上,0
企業_4705_GPQWKINE,159,5,50,0,1,0,サービス,1-10名,交渉,1610000,0,未定,低い,1億円未満,0
企業_4706_PFDJJ4PJ,124,1,76,0,1,1,小売,1-10名,初期ヒアリング,490000,1,未定,高い,100億円以上,0
企業_4707_O4UAXAKQ,61,3,82,1,0,1,IT,101-500名,初期ヒアリング,2980000,0,1年以内,普通,100億円以上,0
企業_4708_WUDW1AU3,48,8,77,0,0,1,製造業,101-500名,クロージング,1460000,1,3ヶ月以内,普通,1億円～10億円,0
